member_id,name,age,employment_status,income_monthly,income_change_pct,checking_balance,savings_balance,credit_card_balance,credit_card_balance_change_pct,credit_score,home_ownership,home_value,mortgage_balance,auto_loan_balance,tuition_payment,recent_large_purchase,transaction_count_60d,avg_transaction_60d,recent_job_change,months_at_employer,renovation_permit_nearby,property_listing_nearby,new_child_indicator,debt_to_income_ratio,missed_payments_12m,loan_inquiries_90d,member_since_years,branch_visits_90d,mobile_logins_30d
MBR0036,Thomas Johnson,40,unemployed,9061,19.7,9212,2404,14903,-11.2,644,renter,0,0,3798,1200,0,104,351.67,0,106,0,0,1,0.04,0,4,25,7,40
MBR0037,Donald Martin,35,full_time,11498,-17.8,4919,28712,15883,-7.9,741,owner,430921,266913,10182,8000,0,90,180.96,0,30,1,0,0,1.98,0,2,17,4,26
MBR0038,Mia Moore,52,full_time,9983,5.3,6484,12491,16654,54.6,614,owner,469666,304204,27997,1200,1,120,217.86,0,73,0,1,0,2.62,0,4,16,5,21
MBR0039,Sarah Harris,46,part_time,7772,22.8,11627,15650,12549,3.4,778,renter,0,0,1430,500,1,110,367.97,0,99,0,1,0,0.04,0,4,19,5,55
MBR0040,Matthew Taylor,28,self_employed,9986,-24.2,2561,26868,5058,-12.5,780,renter,0,0,11093,12000,1,103,59.72,0,173,1,0,0,0.03,2,4,2,1,15
MBR0041,Linda Williams,36,unemployed,3980,-1.1,1812,49831,3293,24.4,757,renter,0,0,948,0,1,27,138.55,0,111,0,0,1,0.02,0,4,22,2,10
MBR0042,Robert Harris,61,part_time,6445,2.4,9754,9379,7608,26.1,645,renter,0,0,8366,18000,0,79,363.45,1,41,0,1,0,0.05,0,2,21,6,44
MBR0043,Matthew Miller,41,full_time,8802,21.9,1947,15545,12496,37.2,727,renter,0,0,22913,0,0,104,176.45,0,145,0,1,0,0.07,2,1,20,5,14
MBR0044,Donald Martin,61,full_time,4740,9.6,10480,42358,1291,10.9,692,owner,787727,365653,4306,0,1,61,306.57,0,52,0,0,1,6.45,0,2,6,4,58
MBR0045,Matthew Thomas,40,unemployed,8049,19.2,7873,4934,4612,55.4,637,renter,0,0,27713,8000,1,31,322.55,0,68,0,1,0,0.07,1,2,19,6,52
MBR0046,Olivia Moore,28,unemployed,6330,0.9,10350,36792,10748,71.5,636,owner,846269,567622,22972,0,1,34,81.72,0,78,1,0,0,7.57,0,4,5,6,29
MBR0047,Michael Brown,48,self_employed,5031,23.7,10930,6489,16034,41.6,820,renter,0,0,1072,500,0,76,194.54,0,93,0,0,1,0.07,1,2,2,6,17
MBR0048,Evelyn Garcia,51,full_time,5975,10.3,9983,1399,1657,58.7,642,owner,772002,302889,27191,8000,0,95,109.9,0,85,0,0,0,4.31,2,1,5,8,16
MBR0049,Thomas Smith,29,unemployed,2922,-17.8,6069,15593,10609,-18.4,647,owner,312915,198317,17238,0,0,80,195.86,0,132,0,1,1,5.83,0,4,2,8,19
MBR0050,Ava Brown,25,part_time,9080,-1.6,1968,32130,14534,-12.7,600,renter,0,0,19932,0,0,36,131.76,1,141,0,1,1,0.07,0,2,15,8,38
MBR0051,Kevin Williams,66,full_time,11533,14.6,3722,28185,14796,68.8,685,renter,0,0,27112,3500,1,73,299.96,0,110,0,0,0,0.06,0,3,3,1,53
MBR0052,Sarah Wilson,49,full_time,8605,19.6,9315,3930,10801,47.0,685,renter,0,0,21801,1200,0,56,252.15,0,27,0,0,0,0.07,0,0,12,8,23
MBR0053,Matthew Smith,58,full_time,9530,21.5,12773,40745,860,40.9,748,renter,0,0,948,0,1,109,312.09,0,90,0,0,0,0.0,0,3,3,2,47
MBR0054,Robert Miller,27,unemployed,11191,-13.2,7078,29730,11170,-4.3,659,renter,0,0,25455,12000,0,26,87.56,1,13,0,0,0,0.06,1,3,16,7,26
MBR0055,David Jackson,54,full_time,8155,-1.4,4840,44447,15945,32.7,658,owner,411230,196513,19638,0,0,46,141.53,0,36,0,0,0,2.09,0,0,16,6,11
MBR0056,Anthony Thomas,56,unemployed,6270,2.5,13853,43781,11605,-12.8,800,owner,637409,196598,2551,500,1,93,179.64,0,75,0,1,0,2.66,0,1,20,7,53
MBR0057,Robert Miller,27,part_time,4234,-11.6,9848,26243,17169,-12.1,802,renter,0,0,24438,500,0,62,318.27,0,131,0,0,0,0.18,0,1,8,1,9
MBR0058,Sophia Wilson,33,self_employed,5004,16.8,10939,4938,5804,75.1,740,renter,0,0,15202,12000,1,107,371.94,1,165,0,0,0,0.07,0,0,16,7,40
MBR0059,David Johnson,59,full_time,8266,2.9,5285,30260,14808,-16.2,674,renter,0,0,2514,18000,0,98,249.81,0,119,0,1,1,0.04,1,1,11,7,32
MBR0060,Mia Jackson,50,full_time,8126,29.0,1581,33066,5654,-16.1,761,renter,0,0,14398,8000,0,66,167.96,0,100,1,0,1,0.04,0,2,3,5,6
MBR0061,Michael Anderson,40,full_time,4963,-6.7,9747,43490,4634,71.7,659,renter,0,0,4225,12000,0,59,236.8,0,33,0,1,1,0.03,0,0,12,4,11
MBR0062,Ava Thomas,53,full_time,6211,30.0,2738,5057,9692,64.4,605,owner,745990,504142,17253,0,1,118,258.67,1,97,0,0,0,6.84,2,4,6,7,2
MBR0063,Michael Clark,65,unemployed,6391,28.3,10203,18673,14710,3.4,641,renter,0,0,26496,3500,0,67,280.97,1,113,1,0,0,0.12,0,4,14,2,52
MBR0064,Olivia Davis,30,full_time,3354,10.3,14521,24327,3361,51.1,712,owner,478910,161748,5253,0,1,85,84.52,0,24,0,1,0,4.06,0,3,2,6,32
MBR0065,Mark Taylor,46,full_time,8642,-12.7,5421,6493,10986,59.1,615,owner,480814,342737,15481,0,1,77,257.68,0,5,0,0,0,3.36,0,4,17,6,7
MBR0066,Amelia Williams,37,full_time,4496,-22.4,7078,41874,14978,-13.7,794,renter,0,0,19553,8000,0,100,220.69,0,37,0,1,0,0.14,0,2,8,6,11
MBR0067,Maria Thomas,55,full_time,3608,27.4,9114,33248,16633,35.4,679,renter,0,0,1426,18000,1,67,123.85,0,92,0,0,0,0.1,1,0,25,5,8
MBR0068,Mark Miller,56,full_time,5368,20.7,11417,30449,15680,43.2,787,owner,246165,153168,14997,0,1,45,46.21,0,11,0,0,1,2.48,0,4,16,4,2
MBR0069,Ava Clark,40,full_time,3283,22.6,5638,17905,4078,59.9,691,renter,0,0,24356,3500,1,63,390.28,0,178,1,0,1,0.15,0,0,24,6,5
MBR0070,Harper Garcia,33,self_employed,7313,-7.3,1511,21490,9687,10.6,734,renter,0,0,5460,3500,1,77,45.67,0,158,1,0,0,0.04,0,3,12,8,51
MBR0071,Alex Turner,34,full_time,7500,45.0,800,1200,14500,85.0,640,owner,420000,310000,0,0,1,95,280.0,1,2,0,0,0,0.52,1,3,3,2,40
MBR0072,Sofia Reyes,41,full_time,9200,0.0,12000,35000,1800,5.0,765,owner,680000,280000,0,0,0,45,150.0,0,84,1,0,0,0.11,0,0,12,1,20
MBR0073,Nathan Park,28,part_time,2100,-30.0,150,80,9200,110.0,590,renter,0,0,8500,17500,0,110,88.0,0,8,0,0,0,0.72,3,5,2,0,12
MBR0074,Grace Liu,52,full_time,11500,5.0,22000,80000,500,2.0,810,owner,920000,180000,0,0,0,30,200.0,0,120,0,1,0,0.06,0,0,18,3,8
MBR0075,Marcus Webb,39,self_employed,5200,20.0,3500,4000,7800,60.0,670,renter,0,0,0,0,1,85,320.0,1,14,0,0,0,0.3,0,2,6,1,35
MBR0076,Priya Shah,45,full_time,8800,8.0,5000,12000,12000,75.0,655,owner,510000,390000,0,0,0,100,195.0,0,60,0,0,0,0.41,2,4,9,0,28
MBR0077,Connor Walsh,31,full_time,6200,12.0,4200,8000,2200,10.0,720,renter,0,0,0,0,0,55,140.0,0,36,0,0,0,0.07,0,1,5,2,22
MBR0078,Diana Chen,37,full_time,7800,0.0,9500,22000,800,3.0,788,owner,560000,240000,0,0,1,40,175.0,0,72,1,0,0,0.09,0,0,10,2,15
MBR0079,Jerome Davis,50,unemployed,0,-100.0,620,1500,11000,95.0,601,owner,295000,270000,0,0,0,75,55.0,1,1,0,0,0,0.95,3,2,15,4,5
MBR0080,Mei Zhang,26,full_time,4500,15.0,2800,500,1200,8.0,695,renter,0,0,14000,0,1,65,210.0,0,18,0,0,0,0.25,0,1,2,0,50
